Longitud,Latitud,ID_CRE,Razon_Social,Colonia,CP,Municipio,Entidad,Franquicia_Marca,Gas87,Gas91,Diesel
-101.7064,22.63596,2383,"GRUPO GASOLINERO ROMCAL, S. A. DE C. V.",INFONAVIT SANTA CRUZ,78600,SALINAS,San Luis Potosi,PEMEX,19.57,19.76,21.78
-108.9943,25.79409,2359,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",CENTRO,81200,AHOME,Sinaloa,PEMEX,16.93,18.43,
-108.9416,25.8021,2276,"MULTISERVICIOS LA PILARICA, S. A. DE C. V.",LOS MOCHIS,81255,AHOME,Sinaloa,PEMEX,16.93,19.99,20.99
-108.9826,25.80633,2311,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",LAS FUENTES,81223,AHOME,Sinaloa,CHEVRON,16.93,18.43,20.99
-104.8595,21.47486,2245,"GRUPO OCTANO, S. A. DE C. V.",LAGOS DEL COUNTRY,63197,TEPIC,Nayarit,Octano,16.99,17.99,20.49
-105.2269,22.00695,2323,"GRUPO OCTANO, S. A. DE C. V.",VICENTE GUERRERO O EL MOGOTE,63640,ROSAMORADA,Nayarit,Octano,15.99,16.99,19.99
-105.2828,21.54249,2105,"GRUPO OCTANO, S. A. DE C. V.",CENTRO,63740,SAN BLAS,Nayarit,Octano,17.99,19.99,20.69
-105.1947,21.4739,2052,"GRUPO OCTANO, S. A. DE C. V.",ATICAMA,63740,SAN BLAS,Nayarit,Octano,17.99,,20.69
-108.9733,25.79476,2377,"MULTISERVICIOS LA PILARICA, S. A. DE C. V.",CENTRO,81200,AHOME,Sinaloa,PEMEX,16.93,19.09,
-104.8682,21.47683,2535,"GRUPO OCTANO, S. A. DE C. V.",VALLE DE MATATIPAC,63195,TEPIC,Nayarit,Octano,16.99,17.99,20.49
-108.9937,25.76829,2293,"MULTISERVICIOS LA PILARICA, S. A. DE C. V.",MORELOS,81290,AHOME,Sinaloa,PEMEX,16.93,18.98,
-109.0119,25.78968,2215,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",FRACCIONAMIENTO JARDINES DEL COUNTRY,81248,AHOME,Sinaloa,PEMEX,16.93,18.43,20.99
