Fecha,Gas87,Gas91,Diesel
2017-01-01,15.99,17.79,17.05
2017-01-02,16.02,17.82,17.08
2017-01-03,16.02,17.83,17.08
2017-01-04,16.02,17.83,17.08
2017-01-05,16.02,17.83,17.08
2017-01-06,16.02,17.83,17.08
2017-01-07,16.02,17.83,17.08
2017-01-08,16.02,17.83,17.08
2017-01-09,16.02,17.83,17.09
2017-01-10,16.02,17.83,17.08
2017-01-11,16.01,17.82,17.08
2017-01-12,16.01,17.83,17.08
2017-01-13,16.01,17.82,17.08
2017-01-14,16,17.82,17.07
2017-01-15,16,17.82,17.07
2017-01-16,16,17.82,17.07
2017-01-17,16,17.81,17.07
2017-01-18,16,17.81,17.07
2017-01-19,16,17.81,17.07
2017-01-20,16,17.81,17.07
2017-01-21,16,17.81,17.07
2017-01-22,16,17.81,17.07
2017-01-23,16,17.81,17.07
2017-01-24,16,17.81,17.07
2017-01-25,16,17.81,17.07
2017-01-26,15.99,17.8,17.07
2017-01-27,15.99,17.81,17.07
2017-01-28,15.99,17.81,17.07
2017-01-29,15.99,17.81,17.07
2017-01-30,15.99,17.81,17.07
2017-01-31,15.99,17.82,17.08
2017-02-01,15.91,17.77,17.08
2017-02-02,15.89,17.74,17.08
2017-02-03,15.88,17.74,17.08
2017-02-04,15.87,17.73,17.08
2017-02-05,15.86,17.73,17.08
2017-02-06,15.86,17.73,17.07
2017-02-07,15.86,17.72,17.07
2017-02-08,15.86,17.72,17.07
2017-02-09,15.85,17.72,17.07
2017-02-10,15.84,17.72,17.07
2017-02-11,15.84,17.71,17.07
2017-02-12,15.8,17.68,17.08
2017-02-13,15.75,17.66,17.09
2017-02-14,15.71,17.64,17.09
2017-02-15,15.69,17.62,17.09
2017-02-16,15.69,17.62,17.09
2017-02-17,15.67,17.62,17.1
2017-02-18,15.93,17.76,17.05
2017-02-19,15.93,17.76,17.06
2017-02-20,15.93,17.76,17.06
2017-02-21,15.92,17.75,17.06
2017-02-22,15.92,17.75,17.06
2017-02-23,15.91,17.74,17.06
2017-02-24,15.9,17.73,17.03
2017-02-25,15.89,17.73,17.03
2017-02-26,15.89,17.73,17.03
2017-02-27,15.89,17.73,17.03
2017-02-28,15.89,17.73,17.02
2017-03-01,15.87,17.72,17.03
2017-03-02,15.86,17.72,17.04
2017-03-03,15.84,17.7,17.03
2017-03-04,15.82,17.68,17
2017-03-05,15.82,17.68,17
2017-03-06,15.82,17.68,17
2017-03-07,15.8,17.66,16.98
2017-03-08,15.82,17.68,17.01
